MeasurementDateGMT,NO,NO2,NOX,PM10,O3
07/01/2018,630.39,1087.64,2054.52,421.77,830.2
14/01/2018,1109.88,1159.39,2861.36,659.86,368.39
21/01/2018,589.88,1119.35,2023.96,346.45,726.65
28/01/2018,786.64,1160.23,2366.62,386.28,641.36
04/02/2018,1006.2,1337.52,2880.53,401.37,490.33
11/02/2018,1058.35,1371.54,2994.29,478.73,476.46
18/02/2018,854.31,1316.53,2626.47,524.31,585.26
25/02/2018,827.82,1246.5,2515.76,714.07,451.2
04/03/2018,633.06,1159.74,2130.44,906.62,486.7
11/03/2018,743.73,1248.8,2389.2,572.15,543.43
18/03/2018,564.68,1021.53,1887.39,531.94,668.7
25/03/2018,722.08,1224.9,2332.01,711.88,647.9
01/04/2018,616.94,1122.06,2068.02,370.13,661.41
08/04/2018,423.83,890.82,1540.77,464.27,792.57
15/04/2018,789.7,1210.24,2421.02,855.09,423.01
22/04/2018,567.91,1171.25,2042.12,792.26,1143.47
29/04/2018,508.57,852.76,1632.44,377.05,941.1
06/05/2018,714.63,1252.8,2348.38,565.47,905.36
13/05/2018,594.9,1213.67,2126,663.79,999.1
20/05/2018,574.73,1080.24,1961.57,608.38,920.49
27/05/2018,547.87,1180.34,2020.37,861.84,1083.66
03/06/2018,432.52,1086.64,1749.66,678.34,1145.29
10/06/2018,555.73,981.88,1834.09,582.98,1095.71
17/06/2018,474.75,761.51,1489.54,424.06,1060.01
24/06/2018,439.07,746.81,1420.14,407.83,1025.3
01/07/2018,465.4,1036.2,1749.79,603.21,1484.54
08/07/2018,453.3,1144.76,1839.56,654.51,1510.83
15/07/2018,519.7,1007.56,1804.44,539.31,1231.74
22/07/2018,385.34,927.95,1518.76,483.94,1365.5
29/07/2018,345.25,834.94,1364.25,513.84,1508.48
05/08/2018,395.1,801.41,1407.31,391.43,1214.36
12/08/2018,436.08,863.68,1532.51,416.93,1208.64
19/08/2018,439.39,718.43,1392.03,385.31,778.44
26/08/2018,438.23,742.65,1414.28,332.38,732.87
02/09/2018,605.43,1096.68,2024.9,475.22,819.03
09/09/2018,518.6,1075.94,1870.98,460.22,863.67
16/09/2018,562.43,893.36,1755.7,405.44,841.01
23/09/2018,366.53,713.42,1289.08,412.6,1147.8
30/09/2018,1039.04,1381.79,2975.87,486.64,515.91
07/10/2018,681.19,1044.04,2088.14,452.98,524.11
14/10/2018,526.96,946.91,1754.85,499.84,959.97
21/10/2018,1578.72,1406.94,3827.89,543.76,330.47
28/10/2018,1446.18,1272.01,3489.75,360.92,887.15
04/11/2018,952.91,1232.84,2693.97,449.31,503.45
11/11/2018,649.94,916.16,1912.74,489.26,712.29
18/11/2018,744.75,1082.86,2224.78,558.72,428.77
25/11/2018,1332.89,1349.3,3393.01,739.71,188.57
02/12/2018,588.18,1016.64,1918.53,364.01,966.48
09/12/2018,588.45,979.2,1881.57,351.33,971.14
16/12/2018,1037.28,1347.19,2937.75,597.18,367.38
23/12/2018,488.78,991.59,1741.17,389.46,1028.21
30/12/2018,1238.01,1352.13,3250.44,580.68,226.88
06/01/2019,720.15,1438.16,2542.31,522.43,457.41
13/01/2019,819.31,1316,2572.21,528.46,541.91
20/01/2019,825.61,1401.49,2667.45,530.17,593.09
27/01/2019,1303.36,1542.77,3541.24,586.48,484.71
03/02/2019,1150.22,1568.19,3331.82,522.21,436.61
10/02/2019,588.45,996.94,1899.19,393.93,987.03
17/02/2019,1077.31,1593.3,3245.15,826.91,480.36
