,Borough,percentage
0,Barking and Dagenham,33.33
1,Barnet,100.0
2,Bexley,64.29
3,Brent,50.0
4,Bromley,75.0
5,Camden,37.5
6,City of London,16.67
7,Croydon,55.56
8,Ealing,61.54
9,Enfield,33.33
10,Greenwich,21.43
11,Hackney,50.0
12,Hammersmith and Fulham,100.0
13,Haringey,50.0
14,Harrow,0.0
15,Havering,33.33
16,Hillingdon,66.67
17,Hounslow,100.0
18,Islington,60.0
19,Kensington and Chelsea,70.0
20,Kingston upon Thames,57.14
21,Lambeth,50.0
22,Lewisham,16.67
23,Merton,50.0
24,Newham,60.0
25,Redbridge,50.0
26,Richmond upon Thames,20.0
27,Southwark,66.67
28,Sutton,55.56
29,Tower Hamlets,66.67
30,Waltham Forest,100.0
31,Wandsworth,36.36
32,Westminster,35.29
